countries,Argentina,Belize,Bolivia,Brazil,Canada,Chile,Colombia,CostaRica,Ecuador,ElSalvador,Guatemala,Guyana,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Uruguay,USA,Venezuela
Argentina,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Belize,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Bolivia,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Brazil,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Colombia,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
CostaRica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ecuador,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ElSalvador,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Guatemala,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Guyana,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Honduras,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Mexico,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Nicaragua,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Venezuela,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
